    Time: 2018-4-5 15:57:51
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\Round2\20180404\2018-04\180405\180405.004
Experimenter: 
Sample:

Image:R-Ibias Relationship, (All B=0)

I_ac_a=100nA
I_ac_b=100nA
I_ac_c=100nA
I_ac_d=1nA
I_ac_e=100nA

R_bias=1M Omega (#a #d#e)
R_bias=1M Omega (#b#c)



     180405_004_Time	180405_004_T_MC_Kelv	       180405_004_#a	       180405_004_#b	       180405_004_#c	       180405_004_#d	       180405_004_#e	    180405_004_Vbias	      180405_004_I_B
   4.173000E+0	   2.630000E-2	   3.765000E-7	   6.559000E-7	   1.293400E-6	   1.566000E-6	   8.560000E-8	   1.999940E+1	  -2.384190E-8
   4.426000E+0	   2.630000E-2	   3.761000E-7	   6.560000E-7	   1.292900E-6	   1.573000E-6	   8.660000E-8	   1.999940E+1	   8.344650E-8
   4.686000E+0	   2.630000E-2	   3.770000E-7	   6.561000E-7	   1.292100E-6	   1.586000E-6	   8.670000E-8	   1.999940E+1	   1.192090E-7
   4.904000E+0	   2.630000E-2	   3.799000E-7	   6.561000E-7	   1.291500E-6	   1.609000E-6	   8.660000E-8	   1.999940E+1	   1.192090E-7
   5.149000E+0	   2.630000E-2	   3.827000E-7	   6.565000E-7	   1.292200E-6	   1.627000E-6	   8.610000E-8	   1.999940E+1	   1.072880E-7
   5.399000E+0	   2.630000E-2	   3.843000E-7	   6.579000E-7	   1.293900E-6	   1.623000E-6	   8.490000E-8	   1.999940E+1	  -3.576280E-8
   5.648000E+0	   2.630000E-2	   3.844000E-7	   6.595000E-7	   1.294400E-6	   1.605000E-6	   8.380000E-8	   1.999940E+1	   4.768370E-8
   5.869000E+0	   2.630000E-2	   3.830000E-7	   6.614000E-7	   1.294000E-6	   1.586000E-6	   8.280000E-8	   1.999940E+1	   5.960460E-8
   6.089000E+0	   2.630000E-2	   3.801000E-7	   6.632000E-7	   1.293900E-6	   1.573000E-6	   8.190000E-8	   1.999940E+1	  -4.768370E-8
   6.348000E+0	   2.630000E-2	   3.784000E-7	   6.635000E-7	   1.294200E-6	   1.572000E-6	   8.140000E-8	   1.999940E+1	  -1.192090E-7
   6.557000E+0	   2.630000E-2	   3.780000E-7	   6.631000E-7	   1.294600E-6	   1.566000E-6	   8.100000E-8	   1.999940E+1	  -1.430510E-7
   6.777000E+0	   2.630000E-2	   3.800000E-7	   6.623000E-7	   1.294800E-6	   1.542000E-6	   8.090000E-8	   1.999940E+1	  -2.384190E-8
   6.996000E+0	   2.630000E-2	   3.837000E-7	   6.606000E-7	   1.294300E-6	   1.512000E-6	   8.150000E-8	   1.999940E+1	   1.192090E-7
   7.240000E+0	   2.630000E-2	   3.846000E-7	   6.579000E-7	   1.292900E-6	   1.501000E-6	   8.230000E-8	   1.999940E+1	   1.192090E-7
   7.476000E+0	   2.630000E-2	   3.839000E-7	   6.553000E-7	   1.291200E-6	   1.502000E-6	   8.340000E-8	   1.999940E+1	   4.768370E-8
   7.723000E+0	   2.630000E-2	   3.828000E-7	   6.550000E-7	   1.289600E-6	   1.515000E-6	   8.490000E-8	   1.999940E+1	  -1.192090E-8
   7.943000E+0	   2.630000E-2	   3.809000E-7	   6.557000E-7	   1.288300E-6	   1.533000E-6	   8.590000E-8	   1.999940E+1	   4.768370E-8
   8.191000E+0	   2.630000E-2	   3.799000E-7	   6.565000E-7	   1.288800E-6	   1.554000E-6	   8.570000E-8	   1.999530E+1	  -2.384190E-8
   8.467000E+0	   2.630000E-2	   3.793000E-7	   6.569000E-7	   1.290500E-6	   1.557000E-6	   8.450000E-8	   1.999340E+1	  -2.384190E-8
   8.702000E+0	   2.630000E-2	   3.788000E-7	   6.564000E-7	   1.293100E-6	   1.556000E-6	   8.300000E-8	   1.999020E+1	  -8.344650E-8
   8.978000E+0	   2.630000E-2	   3.785000E-7	   6.561000E-7	   1.295100E-6	   1.552000E-6	   8.180000E-8	   1.998920E+1	   2.384190E-8
   9.199000E+0	   2.630000E-2	   3.796000E-7	   6.557000E-7	   1.297300E-6	   1.560000E-6	   8.000000E-8	   1.998640E+1	   7.152560E-8
   9.494000E+0	   2.630000E-2	   3.831000E-7	   6.564000E-7	   1.297600E-6	   1.572000E-6	   7.900000E-8	   1.998320E+1	   2.503400E-7
   9.771000E+0	   2.630000E-2	   3.870000E-7	   6.578000E-7	   1.297600E-6	   1.568000E-6	   7.950000E-8	   1.998040E+1	   4.768370E-8
   1.003300E+1	   2.630000E-2	   3.883000E-7	   6.584000E-7	   1.297600E-6	   1.559000E-6	   8.020000E-8	   1.997850E+1	   8.344650E-8
   1.026400E+1	   2.630000E-2	   3.884000E-7	   6.587000E-7	   1.297000E-6	   1.541000E-6	   8.070000E-8	   1.997620E+1	  -5.960460E-8
   1.051600E+1	   2.630000E-2	   3.873000E-7	   6.584000E-7	   1.296400E-6	   1.519000E-6	   8.140000E-8	   1.997430E+1	   4.768370E-8
   1.077900E+1	   2.630000E-2	   3.874000E-7	   6.581000E-7	   1.295700E-6	   1.508000E-6	   8.190000E-8	   1.997150E+1	   2.384190E-8
   1.102600E+1	   2.630000E-2	   3.873000E-7	   6.572000E-7	   1.295500E-6	   1.516000E-6	   8.280000E-8	   1.996920E+1	  -1.668930E-7
   1.128800E+1	   2.630000E-2	   3.866000E-7	   6.565000E-7	   1.295700E-6	   1.532000E-6	   8.300000E-8	   1.996820E+1	  -2.026560E-7
   1.147000E+1	   2.630000E-2	   3.842000E-7	   6.568000E-7	   1.296500E-6	   1.555000E-6	   8.310000E-8	   1.996640E+1	  -8.344650E-8
   1.171600E+1	   2.630000E-2	   3.821000E-7	   6.585000E-7	   1.297600E-6	   1.563000E-6	   8.270000E-8	   1.996320E+1	  -1.668930E-7
   1.196100E+1	   2.630000E-2	   3.816000E-7	   6.601000E-7	   1.299000E-6	   1.560000E-6	   8.160000E-8	   1.996220E+1	  -1.788140E-7
   1.220000E+1	   2.630000E-2	   3.825000E-7	   6.615000E-7	   1.300300E-6	   1.558000E-6	   8.050000E-8	   1.996030E+1	  -1.907350E-7
   1.241900E+1	   2.630000E-2	   3.860000E-7	   6.626000E-7	   1.301400E-6	   1.558000E-6	   7.940000E-8	   1.995840E+1	  -3.337860E-7
   1.265100E+1	   2.630000E-2	   3.905000E-7	   6.631000E-7	   1.300900E-6	   1.545000E-6	   7.890000E-8	   1.995620E+1	  -3.218650E-7
   1.294600E+1	   2.630000E-2	   3.916000E-7	   6.627000E-7	   1.299400E-6	   1.539000E-6	   7.980000E-8	   1.995430E+1	  -1.549720E-7
   1.314300E+1	   2.630000E-2	   3.899000E-7	   6.618000E-7	   1.297900E-6	   1.538000E-6	   8.140000E-8	   1.995330E+1	   9.536740E-8
   1.335000E+1	   2.630000E-2	   3.870000E-7	   6.604000E-7	   1.297500E-6	   1.537000E-6	   8.310000E-8	   1.995140E+1	   5.960460E-8
   1.357600E+1	   2.630000E-2	   3.848000E-7	   6.589000E-7	   1.299500E-6	   1.537000E-6	   8.440000E-8	   1.994830E+1	   0.000000E+0
   1.386500E+1	   2.630000E-2	   3.844000E-7	   6.587000E-7	   1.300900E-6	   1.539000E-6	   8.420000E-8	   1.994640E+1	   4.768370E-8
   1.411200E+1	   2.630000E-2	   3.849000E-7	   6.592000E-7	   1.300500E-6	   1.546000E-6	   8.340000E-8	   1.994450E+1	  -4.768370E-8
   1.431700E+1	   2.630000E-2	   3.837000E-7	   6.611000E-7	   1.298700E-6	   1.556000E-6	   8.220000E-8	   1.994220E+1	  -8.344650E-8
   1.455400E+1	   2.630000E-2	   3.825000E-7	   6.632000E-7	   1.296300E-6	   1.570000E-6	   8.160000E-8	   1.994130E+1	   7.152560E-8
   1.476000E+1	   2.630000E-2	   3.800000E-7	   6.653000E-7	   1.293200E-6	   1.589000E-6	   8.090000E-8	   1.993840E+1	   5.960460E-8
   1.504600E+1	   2.630000E-2	   3.777000E-7	   6.656000E-7	   1.291500E-6	   1.585000E-6	   8.050000E-8	   1.993620E+1	   3.576280E-8
   1.529200E+1	   2.630000E-2	   3.758000E-7	   6.654000E-7	   1.291300E-6	   1.573000E-6	   8.030000E-8	   1.993430E+1	  -1.311300E-7
   1.550000E+1	   2.630000E-2	   3.744000E-7	   6.653000E-7	   1.291000E-6	   1.558000E-6	   7.990000E-8	   1.993330E+1	  -2.622600E-7
   1.575900E+1	   2.630000E-2	   3.740000E-7	   6.649000E-7	   1.291000E-6	   1.540000E-6	   7.990000E-8	   1.993050E+1	  -1.668930E-7
   1.599300E+1	   2.630000E-2	   3.746000E-7	   6.639000E-7	   1.292400E-6	   1.525000E-6	   8.020000E-8	   1.992820E+1	  -7.152560E-8
   1.625300E+1	   2.630000E-2	   3.759000E-7	   6.635000E-7	   1.293600E-6	   1.520000E-6	   8.000000E-8	   1.992730E+1	   2.384190E-8
   1.646000E+1	   2.630000E-2	   3.776000E-7	   6.631000E-7	   1.294100E-6	   1.526000E-6	   7.950000E-8	   1.992540E+1	   7.152560E-8
   1.672100E+1	   2.630000E-2	   3.801000E-7	   6.623000E-7	   1.293900E-6	   1.550000E-6	   7.940000E-8	   1.992220E+1	   9.536740E-8
   1.700900E+1	   2.630000E-2	   3.821000E-7	   6.624000E-7	   1.293500E-6	   1.565000E-6	   7.930000E-8	   1.992030E+1	  -7.152560E-8
   1.718400E+1	   2.630000E-2	   3.841000E-7	   6.637000E-7	   1.293400E-6	   1.577000E-6	   7.910000E-8	   1.991840E+1	  -1.192090E-8
   1.741900E+1	   2.630000E-2	   3.849000E-7	   6.652000E-7	   1.293600E-6	   1.588000E-6	   7.920000E-8	   1.991650E+1	   4.768370E-8
   1.764900E+1	   2.630000E-2	   3.862000E-7	   6.659000E-7	   1.293300E-6	   1.588000E-6	   7.970000E-8	   1.991330E+1	   2.384190E-8
   1.793300E+1	   2.630000E-2	   3.870000E-7	   6.657000E-7	   1.292900E-6	   1.573000E-6	   8.030000E-8	   1.991240E+1	   1.072880E-7
   1.815100E+1	   2.630000E-2	   3.874000E-7	   6.656000E-7	   1.293500E-6	   1.552000E-6	   8.010000E-8	   1.991040E+1	   1.549720E-7
   1.838600E+1	   2.630000E-2	   3.869000E-7	   6.659000E-7	   1.295900E-6	   1.529000E-6	   7.950000E-8	   1.990720E+1	   2.026560E-7
   1.863100E+1	   2.630000E-2	   3.856000E-7	   6.660000E-7	   1.297900E-6	   1.503000E-6	   7.920000E-8	   1.990530E+1	   3.337860E-7
   1.890400E+1	   2.630000E-2	   3.846000E-7	   6.654000E-7	   1.297900E-6	   1.487000E-6	   7.940000E-8	   1.990340E+1	   2.026560E-7
   1.914900E+1	   2.630000E-2	   3.841000E-7	   6.648000E-7	   1.296900E-6	   1.491000E-6	   8.070000E-8	   1.990110E+1	   2.384190E-7
   1.937400E+1	   2.630000E-2	   3.848000E-7	   6.635000E-7	   1.295300E-6	   1.511000E-6	   8.310000E-8	   1.989930E+1	   4.053120E-7
   1.960900E+1	   2.630000E-2	   3.859000E-7	   6.615000E-7	   1.293700E-6	   1.541000E-6	   8.570000E-8	   1.989740E+1	   2.980230E-7
   1.987100E+1	   2.630000E-2	   3.860000E-7	   6.598000E-7	   1.292900E-6	   1.553000E-6	   8.640000E-8	   1.989520E+1	   3.814700E-7
   2.014600E+1	   2.630000E-2	   3.848000E-7	   6.585000E-7	   1.292600E-6	   1.562000E-6	   8.500000E-8	   1.989420E+1	   4.053120E-7
   2.035200E+1	   2.630000E-2	   3.819000E-7	   6.578000E-7	   1.292700E-6	   1.575000E-6	   8.150000E-8	   1.989130E+1	   3.933910E-7
   2.063300E+1	   2.630000E-2	   3.811000E-7	   6.576000E-7	   1.292900E-6	   1.581000E-6	   7.830000E-8	   1.988940E+1	   3.814700E-7
   2.088200E+1	   2.630000E-2	   3.826000E-7	   6.578000E-7	   1.293300E-6	   1.590000E-6	   7.650000E-8	   1.988620E+1	   4.649160E-7
   2.113000E+1	   2.630000E-2	   3.844000E-7	   6.577000E-7	   1.294800E-6	   1.603000E-6	   7.610000E-8	   1.988440E+1	   3.695490E-7
   2.137900E+1	   2.630000E-2	   3.866000E-7	   6.569000E-7	   1.296800E-6	   1.615000E-6	   7.630000E-8	   1.988340E+1	   4.410740E-7
   2.158400E+1	   2.630000E-2	   3.893000E-7	   6.571000E-7	   1.298800E-6	   1.642000E-6	   7.690000E-8	   1.988030E+1	   4.768370E-7
   2.184200E+1	   2.630000E-2	   3.914000E-7	   6.583000E-7	   1.299100E-6	   1.663000E-6	   7.760000E-8	   1.987840E+1	   5.841260E-7
   2.208900E+1	   2.630000E-2	   3.933000E-7	   6.587000E-7	   1.298400E-6	   1.654000E-6	   7.880000E-8	   1.987650E+1	   5.960460E-7
   2.232400E+1	   2.630000E-2	   3.944000E-7	   6.581000E-7	   1.297200E-6	   1.629000E-6	   8.010000E-8	   1.987430E+1	   5.126000E-7
   2.254800E+1	   2.630000E-2	   3.945000E-7	   6.578000E-7	   1.295900E-6	   1.611000E-6	   8.110000E-8	   1.987240E+1	   5.245210E-7
   2.279800E+1	   2.630000E-2	   3.933000E-7	   6.584000E-7	   1.295900E-6	   1.597000E-6	   8.130000E-8	   1.986950E+1	   6.318090E-7
   2.304400E+1	   2.630000E-2	   3.915000E-7	   6.593000E-7	   1.296000E-6	   1.591000E-6	   8.140000E-8	   1.986820E+1	   5.006790E-7
   2.321900E+1	   2.630000E-2	   3.881000E-7	   6.605000E-7	   1.296800E-6	   1.585000E-6	   8.130000E-8	   1.986630E+1	   6.079670E-7
   2.345500E+1	   2.630000E-2	   3.855000E-7	   6.612000E-7	   1.298300E-6	   1.581000E-6	   8.080000E-8	   1.986540E+1	   5.364420E-7
   2.367400E+1	   2.630000E-2	   3.836000E-7	   6.618000E-7	   1.299800E-6	   1.585000E-6	   8.040000E-8	   1.986250E+1	   5.602840E-7
   2.393300E+1	   2.630000E-2	   3.818000E-7	   6.624000E-7	   1.300600E-6	   1.597000E-6	   8.000000E-8	   1.986130E+1	   6.675720E-7
   2.415100E+1	   2.630000E-2	   3.787000E-7	   6.622000E-7	   1.300300E-6	   1.623000E-6	   8.080000E-8	   1.985930E+1	   6.079670E-7
   2.440300E+1	   2.630000E-2	   3.768000E-7	   6.613000E-7	   1.298700E-6	   1.646000E-6	   8.270000E-8	   1.985650E+1	   5.245210E-7
   2.466500E+1	   2.630000E-2	   3.764000E-7	   6.612000E-7	   1.296800E-6	   1.648000E-6	   8.440000E-8	   1.985430E+1	   4.887580E-7
   2.490000E+1	   2.630000E-2	   3.780000E-7	   6.613000E-7	   1.294500E-6	   1.637000E-6	   8.530000E-8	   1.985240E+1	   5.722050E-7
   2.517300E+1	   2.630000E-2	   3.809000E-7	   6.618000E-7	   1.292600E-6	   1.620000E-6	   8.590000E-8	   1.985050E+1	   6.079670E-7
   2.542400E+1	   2.630000E-2	   3.859000E-7	   6.621000E-7	   1.291600E-6	   1.599000E-6	   8.650000E-8	   1.984820E+1	   5.483630E-7
   2.567300E+1	   2.630000E-2	   3.911000E-7	   6.614000E-7	   1.291900E-6	   1.575000E-6	   8.680000E-8	   1.984540E+1	   6.437300E-7
   2.593100E+1	   2.630000E-2	   3.933000E-7	   6.604000E-7	   1.292000E-6	   1.568000E-6	   8.650000E-8	   1.984440E+1	   6.556510E-7
   2.614800E+1	   2.630000E-2	   3.943000E-7	   6.587000E-7	   1.291800E-6	   1.569000E-6	   8.490000E-8	   1.984250E+1	   7.390980E-7
   2.638700E+1	   2.630000E-2	   3.919000E-7	   6.583000E-7	   1.291200E-6	   1.580000E-6	   8.310000E-8	   1.983940E+1	   6.675720E-7
   2.667600E+1	   2.630000E-2	   3.872000E-7	   6.595000E-7	   1.291300E-6	   1.590000E-6	   8.250000E-8	   1.983740E+1	   6.198880E-7
   2.692200E+1	   2.630000E-2	   3.814000E-7	   6.606000E-7	   1.291900E-6	   1.614000E-6	   8.150000E-8	   1.983430E+1	   4.768370E-7
   2.718400E+1	   2.630000E-2	   3.793000E-7	   6.600000E-7	   1.290800E-6	   1.625000E-6	   8.050000E-8	   1.983230E+1	   3.933910E-7
   2.746200E+1	   2.630000E-2	   3.792000E-7	   6.582000E-7	   1.289600E-6	   1.623000E-6	   8.030000E-8	   1.982950E+1	   2.980230E-7
   2.770400E+1	   2.630000E-2	   3.792000E-7	   6.569000E-7	   1.289600E-6	   1.623000E-6	   8.010000E-8	   1.982720E+1	   2.384190E-7
   2.796800E+1	   2.630000E-2	   3.798000E-7	   6.564000E-7	   1.290700E-6	   1.627000E-6	   7.940000E-8	   1.982530E+1	   2.741810E-7
   2.823600E+1	   2.630000E-2	   3.801000E-7	   6.568000E-7	   1.293200E-6	   1.611000E-6	   7.940000E-8	   1.982250E+1	   3.099440E-7
   2.850000E+1	   2.630000E-2	   3.793000E-7	   6.582000E-7	   1.296000E-6	   1.593000E-6	   8.020000E-8	   1.981930E+1	   4.291530E-7
   2.876400E+1	   2.630000E-2	   3.794000E-7	   6.593000E-7	   1.298200E-6	   1.596000E-6	   8.050000E-8	   1.981750E+1	   4.053120E-7
   2.905900E+1	   2.630000E-2	   3.803000E-7	   6.594000E-7	   1.299200E-6	   1.591000E-6	   8.070000E-8	   1.981430E+1	   4.053120E-7
   2.936400E+1	   2.630000E-2	   3.801000E-7	   6.591000E-7	   1.299200E-6	   1.568000E-6	   8.090000E-8	   1.981240E+1	   2.980230E-7
   2.960300E+1	   2.630000E-2	   3.797000E-7	   6.584000E-7	   1.298200E-6	   1.538000E-6	   8.120000E-8	   1.981050E+1	   1.668930E-7
   2.982900E+1	   2.630000E-2	   3.795000E-7	   6.577000E-7	   1.296200E-6	   1.517000E-6	   8.160000E-8	   1.980850E+1	   1.788140E-7
   3.003300E+1	   2.630000E-2	   3.780000E-7	   6.571000E-7	   1.294500E-6	   1.490000E-6	   8.260000E-8	   1.980630E+1	   2.861020E-7
   3.030600E+1	   2.630000E-2	   3.757000E-7	   6.572000E-7	   1.294600E-6	   1.488000E-6	   8.380000E-8	   1.980350E+1	   1.549720E-7
   3.055100E+1	   2.630000E-2	   3.744000E-7	   6.571000E-7	   1.295200E-6	   1.508000E-6	   8.500000E-8	   1.980120E+1	   2.384190E-7
   3.081900E+1	   2.630000E-2	   3.750000E-7	   6.575000E-7	   1.295500E-6	   1.533000E-6	   8.590000E-8	   1.979930E+1	   2.026560E-7
   3.107100E+1	   2.630000E-2	   3.769000E-7	   6.574000E-7	   1.295800E-6	   1.557000E-6	   8.600000E-8	   1.979650E+1	   2.264980E-7
   3.132400E+1	   2.630000E-2	   3.786000E-7	   6.572000E-7	   1.297100E-6	   1.580000E-6	   8.580000E-8	   1.979430E+1	   1.311300E-7
   3.158700E+1	   2.630000E-2	   3.804000E-7	   6.571000E-7	   1.298100E-6	   1.588000E-6	   8.540000E-8	   1.979330E+1	   2.741810E-7
   3.177600E+1	   2.630000E-2	   3.819000E-7	   6.568000E-7	   1.298700E-6	   1.592000E-6	   8.520000E-8	   1.979040E+1	   2.503400E-7
   3.202400E+1	   2.630000E-2	   3.812000E-7	   6.563000E-7	   1.298800E-6	   1.596000E-6	   8.550000E-8	   1.978950E+1	   2.264980E-7
   3.224800E+1	   2.630000E-2	   3.784000E-7	   6.559000E-7	   1.297400E-6	   1.590000E-6	   8.650000E-8	   1.978630E+1	   2.264980E-7
   3.254800E+1	   2.630000E-2	   3.764000E-7	   6.566000E-7	   1.295400E-6	   1.583000E-6	   8.730000E-8	   1.978440E+1	   2.503400E-7
   3.278100E+1	   2.630000E-2	   3.747000E-7	   6.573000E-7	   1.294200E-6	   1.583000E-6	   8.770000E-8	   1.978250E+1	   2.861020E-7
   3.299100E+1	   2.630000E-2	   3.736000E-7	   6.590000E-7	   1.293700E-6	   1.596000E-6	   8.640000E-8	   1.978030E+1	   2.622600E-7
   3.324800E+1	   2.630000E-2	   3.745000E-7	   6.598000E-7	   1.294000E-6	   1.622000E-6	   8.450000E-8	   1.977930E+1	   1.549720E-7
   3.345900E+1	   2.630000E-2	   3.764000E-7	   6.595000E-7	   1.294200E-6	   1.658000E-6	   8.270000E-8	   1.977740E+1	   2.384190E-7
   3.369300E+1	   2.630000E-2	   3.782000E-7	   6.578000E-7	   1.293500E-6	   1.687000E-6	   8.200000E-8	   1.977550E+1	   1.788140E-7
   3.392400E+1	   2.630000E-2	   3.818000E-7	   6.555000E-7	   1.293400E-6	   1.694000E-6	   8.180000E-8	   1.977230E+1	   2.980230E-7
   3.417800E+1	   2.630000E-2	   3.875000E-7	   6.540000E-7	   1.293500E-6	   1.678000E-6	   8.230000E-8	   1.976950E+1	   3.576280E-7
   3.445100E+1	   2.630000E-2	   3.943000E-7	   6.541000E-7	   1.292900E-6	   1.667000E-6	   8.290000E-8	   1.976720E+1	   3.457070E-7
   3.468300E+1	   2.630000E-2	   3.974000E-7	   6.542000E-7	   1.291800E-6	   1.656000E-6	   8.310000E-8	   1.976530E+1	   2.384190E-7
   3.494100E+1	   2.630000E-2	   3.971000E-7	   6.554000E-7	   1.291100E-6	   1.647000E-6	   8.230000E-8	   1.976340E+1	   2.980230E-7
   3.518800E+1	   2.630000E-2	   3.943000E-7	   6.571000E-7	   1.291400E-6	   1.635000E-6	   8.130000E-8	   1.976240E+1	   3.814700E-7
   3.543800E+1	   2.630000E-2	   3.897000E-7	   6.573000E-7	   1.292600E-6	   1.620000E-6	   8.010000E-8	   1.975930E+1	   4.768370E-7
   3.571900E+1	   2.630000E-2	   3.886000E-7	   6.562000E-7	   1.293200E-6	   1.610000E-6	   7.960000E-8	   1.975740E+1	   4.172330E-7
   3.594800E+1	   2.630000E-2	   3.901000E-7	   6.551000E-7	   1.293700E-6	   1.614000E-6	   8.010000E-8	   1.975550E+1	   4.291530E-7
   3.620000E+1	   2.630000E-2	   3.899000E-7	   6.545000E-7	   1.293700E-6	   1.634000E-6	   8.090000E-8	   1.975320E+1	   5.483630E-7
   3.647300E+1	   2.630000E-2	   3.873000E-7	   6.549000E-7	   1.293200E-6	   1.642000E-6	   8.160000E-8	   1.975140E+1	   4.172330E-7
   3.670600E+1	   2.630000E-2	   3.837000E-7	   6.562000E-7	   1.293100E-6	   1.635000E-6	   8.130000E-8	   1.974950E+1	   5.006790E-7
   3.693800E+1	   2.630000E-2	   3.824000E-7	   6.574000E-7	   1.293200E-6	   1.619000E-6	   8.070000E-8	   1.974630E+1	   5.364420E-7
   3.718900E+1	   2.630000E-2	   3.839000E-7	   6.593000E-7	   1.293500E-6	   1.612000E-6	   8.120000E-8	   1.974430E+1	   5.245210E-7
   3.744600E+1	   2.630000E-2	   3.849000E-7	   6.604000E-7	   1.293200E-6	   1.606000E-6	   8.170000E-8	   1.974250E+1	   4.768370E-7
   3.766300E+1	   2.630000E-2	   3.854000E-7	   6.614000E-7	   1.293500E-6	   1.585000E-6	   8.210000E-8	   1.974020E+1	   4.410740E-7
   3.792200E+1	   2.630000E-2	   3.844000E-7	   6.620000E-7	   1.294600E-6	   1.562000E-6	   8.230000E-8	   1.973830E+1	   3.695490E-7
   3.819500E+1	   2.630000E-2	   3.823000E-7	   6.625000E-7	   1.294600E-6	   1.559000E-6	   8.110000E-8	   1.973540E+1	   2.861020E-7
   3.845200E+1	   2.630000E-2	   3.803000E-7	   6.627000E-7	   1.293600E-6	   1.582000E-6	   8.010000E-8	   1.973320E+1	   3.695490E-7
   3.869300E+1	   2.630000E-2	   3.787000E-7	   6.624000E-7	   1.291600E-6	   1.599000E-6	   8.020000E-8	   1.973130E+1	   2.026560E-7
   3.896500E+1	   2.630000E-2	   3.800000E-7	   6.613000E-7	   1.289400E-6	   1.597000E-6	   8.040000E-8	   1.972940E+1	   1.788140E-7
   3.921100E+1	   2.630000E-2	   3.829000E-7	   6.593000E-7	   1.287900E-6	   1.597000E-6	   8.060000E-8	   1.972750E+1	   2.264980E-7
   3.947300E+1	   2.630000E-2	   3.867000E-7	   6.568000E-7	   1.287500E-6	   1.597000E-6	   8.140000E-8	   1.972520E+1	   2.145770E-7
   3.971900E+1	   2.630000E-2	   3.883000E-7	   6.557000E-7	   1.288200E-6	   1.592000E-6	   8.260000E-8	   1.972430E+1	   2.622600E-7
   3.994800E+1	   2.630000E-2	   3.875000E-7	   6.558000E-7	   1.289300E-6	   1.579000E-6	   8.410000E-8	   1.972240E+1	   4.529950E-7
